Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
%Apop:SUM159:Untreat,0.045617,0.044349,0.038217,0.042598,0.042928,0.04,0.041328,0.041694,0.044185,0.043424,0.040025,0.034419,0.041741,0.040627,0.037543,0.033371,0.038545,0.035657,0.043887,0.036474,0.035053,0.035277,0.03608,0.035922,0.038259,0.035714
%Apop:SUM159:HO,0.025152,0.026473,0.094308,0.102716,0.138631,0.201194,0.262309,0.327645,0.424268,0.497492,0.573591,0.646077,0.698573,0.726589,0.761945,0.797468,0.839119,0.875211,0.899493,0.923077,0.941821,0.956743,0.971235,0.979574,0.985544,0.99146
%Apop:SUM159:MLN+SH,0.033912,0.037915,0.030636,0.031373,0.028951,0.033097,0.035828,0.038827,0.04379,0.058635,0.069076,0.075517,0.09345,0.108367,0.142514,0.185185,0.254197,0.319422,0.40412,0.511684,0.618934,0.728639,0.814173,0.865672,0.913043,0.9479
%Apop:SUM159:HO+MLN+SH,0.034971,0.036454,0.043443,0.101556,0.298217,0.482229,0.628824,0.693117,0.775263,0.810289,0.853152,0.882919,0.913253,0.936699,0.955823,0.968875,0.974502,0.978469,0.984064,0.984921,0.987261,0.99127,0.990491,0.993625,0.993661,0.996022
%Apop:SUM159:Cry,0.026692,0.031549,0.027992,0.061787,0.117813,0.155367,0.193762,0.274882,0.409991,0.566142,0.722892,0.828996,0.898148,0.924284,0.945622,0.966851,0.980769,0.985401,0.990868,0.9945,0.997253,0.998167,0.999086,0.999083,0.998167,0.999083
%Apop:SUM159:C+H,0.034161,0.030335,0.036345,0.108808,0.220725,0.325438,0.413402,0.520921,0.648536,0.802966,0.909091,0.958027,0.989637,0.989605,0.996907,0.996907,0.995885,1,1,1,1,1,1,1,1,1
%Apop:SUM159:CH+SH,0.030668,0.028478,0.088332,0.189805,0.405844,0.629067,0.808487,0.901099,0.941886,0.970492,0.984683,0.984832,0.996721,0.994565,0.997821,0.998905,0.998909,0.998907,0.998908,0.998908,0.998904,0.998904,0.998908,0.998901,0.998897,0.998902
%Apop:SUM159:CH+MLN,0.017677,0.018844,0.03321,0.115099,0.239401,0.326303,0.4,0.490683,0.642677,0.812261,0.898964,0.955243,0.983607,0.991228,0.994994,0.996245,0.998748,0.997487,1,1,1,1,1,1,1,1
%Apop:SUM159:CH+Lap,0.030303,0.026858,0.095023,0.195475,0.325433,0.403811,0.49278,0.614067,0.728938,0.855963,0.924354,0.965297,0.980909,0.990975,0.995508,0.997305,0.9982,0.998203,0.999102,0.999102,0.999103,0.999101,0.999103,0.999103,0.9991,0.999103
%Apop:SUM159:C+MLN+SH,0.043551,0.044688,0.039496,0.057021,0.126271,0.231738,0.4,0.630009,0.83247,0.938315,0.971527,0.984483,0.994007,0.997442,0.998298,0.99915,0.999153,0.99915,0.999158,1,1,1,1,1,1,1
%Apop:SUM159:CH+PX,0.030137,0.031511,0.030909,0.086917,0.186239,0.287934,0.371115,0.469725,0.593488,0.773549,0.899522,0.952652,0.977674,0.979535,0.987061,0.991636,0.995357,0.996296,0.997217,0.998145,1,1,1,1,1,1
%Apop:SUM159:Pax,0.026316,0.024254,0.021082,0.023496,0.031835,0.028624,0.031835,0.038745,0.046948,0.052974,0.048918,0.053333,0.05408,0.063037,0.072324,0.083977,0.081712,0.089128,0.098672,0.108108,0.102136,0.125581,0.141941,0.155929,0.175277,0.197917
%Apop:SUM159:C+Pax,0.038657,0.041922,0.080321,0.10885,0.170385,0.210634,0.264556,0.343718,0.476923,0.622063,0.745138,0.833333,0.883768,0.917083,0.949051,0.971916,0.981,0.99001,0.992972,0.995984,0.996997,0.997998,0.998,0.996988,0.998997,1
%Apop:SUM159:H+Pax,0.047071,0.04712,0.038136,0.048988,0.07619,0.124869,0.197466,0.270242,0.346681,0.411146,0.520085,0.556723,0.59728,0.64486,0.682672,0.708595,0.741632,0.780311,0.824818,0.853125,0.89375,0.917098,0.938606,0.94704,0.961578,0.977155
%Apop:SUM159:CH+Pax,0.036145,0.033557,0.029246,0.11086,0.207441,0.273236,0.332961,0.461798,0.624439,0.757576,0.87316,0.935738,0.976536,0.985459,0.991091,0.995546,0.996656,0.997785,1,1,1,1,1,1,1,1
%Apop:MB468:Untreat,0.046923,0.051391,0.063307,0.110767,0.138889,0.148923,0.149877,0.14321,0.138528,0.129375,0.133706,0.128589,0.122075,0.121519,0.12381,0.119696,0.126502,0.134008,0.143849,0.150633,0.170375,0.187261,0.222364,0.229476,0.244674,0.268734
%Apop:MB468:HO,0.044582,0.044307,0.086682,0.162379,0.183732,0.210526,0.236135,0.269033,0.302874,0.366269,0.45174,0.545201,0.646992,0.738908,0.803213,0.861415,0.894001,0.928946,0.959123,0.96849,0.977621,0.983461,0.983919,0.986998,0.991657,0.994048
%Apop:MB468:MLN+SH,0.04538,0.039474,0.059471,0.199891,0.296884,0.342654,0.357998,0.3735,0.454964,0.520508,0.621318,0.719964,0.790389,0.859287,0.907588,0.943803,0.958333,0.972107,0.981912,0.985439,0.98961,0.990591,0.994762,0.995305,0.997902,0.996347
%Apop:MB468:HO+MLN+SH,0.031286,0.026629,0.048193,0.318732,0.516037,0.613402,0.669287,0.704031,0.743743,0.776527,0.809627,0.856048,0.884298,0.90113,0.921157,0.937039,0.953409,0.95426,0.964062,0.968308,0.975706,0.976027,0.979464,0.981839,0.984009,0.988617
%Apop:MB468:Cry,0.033143,0.029714,0.059423,0.107684,0.16732,0.185039,0.23668,0.338325,0.479407,0.635365,0.753747,0.815584,0.845335,0.85997,0.864578,0.876428,0.903157,0.936912,0.953196,0.963626,0.970314,0.975177,0.976841,0.978507,0.977163,0.976758
%Apop:MB468:C+H,0.033755,0.034586,0.05102,0.11747,0.194578,0.251343,0.339916,0.437242,0.565937,0.660142,0.692586,0.759644,0.798111,0.824509,0.873282,0.90574,0.920193,0.942598,0.953418,0.965812,0.968826,0.98044,0.984252,0.988971,0.990244,0.992745
%Apop:MB468:CH+SH,0.040592,0.035832,0.063135,0.160064,0.324851,0.385529,0.407288,0.418704,0.466877,0.481752,0.542487,0.616141,0.683778,0.738279,0.799073,0.854424,0.882474,0.920185,0.944703,0.962176,0.975142,0.985545,0.991224,0.991205,0.993254,0.995874
%Apop:MB468:CH+MLN,0.038213,0.03561,0.05701,0.146041,0.227937,0.296339,0.376019,0.472302,0.568995,0.637911,0.712821,0.755915,0.803967,0.8146,0.862573,0.905993,0.920094,0.93495,0.947493,0.96597,0.975668,0.98285,0.984697,0.989887,0.989899,0.99061
%Apop:MB468:CH+Lap,0.051146,0.042056,0.067927,0.114046,0.166964,0.244509,0.342728,0.435767,0.494972,0.566135,0.626443,0.663006,0.714617,0.762184,0.813389,0.865689,0.901822,0.932005,0.951004,0.957988,0.968085,0.973514,0.983491,0.987654,0.992276,0.991808
%Apop:MB468:C+MLN+SH,0.05053,0.04953,0.037158,0.150587,0.287565,0.409149,0.510139,0.577185,0.66586,0.721027,0.767742,0.793915,0.842587,0.892442,0.937611,0.970979,0.984821,0.990303,0.992145,0.994545,0.996973,0.99757,0.998792,0.999393,0.999392,0.996955
%Apop:MB468:CH+PX,0.044118,0.047037,0.035737,0.105691,0.194724,0.26375,0.35184,0.453755,0.54891,0.613435,0.672862,0.720099,0.778402,0.797492,0.859949,0.902548,0.91688,0.926471,0.946999,0.956214,0.964263,0.975688,0.980695,0.984606,0.988402,0.991083
%Apop:MB468:Pax,0.034163,0.041998,0.06317,0.136979,0.177628,0.187358,0.186325,0.178229,0.170455,0.156482,0.15539,0.154504,0.142775,0.132378,0.118119,0.124569,0.117816,0.120092,0.116898,0.122133,0.13341,0.145581,0.169942,0.193866,0.218732,0.251157
%Apop:MB468:C+Pax,0.036681,0.039299,0.054235,0.136391,0.204559,0.254268,0.315177,0.401699,0.505396,0.624029,0.722679,0.780214,0.821894,0.854358,0.879121,0.902251,0.927563,0.941469,0.960333,0.971932,0.977004,0.98008,0.975168,0.977867,0.981081,0.986684
%Apop:MB468:H+Pax,0.034793,0.038783,0.043787,0.123894,0.183624,0.22169,0.25358,0.294569,0.36174,0.451051,0.536643,0.637324,0.69213,0.715298,0.789886,0.85006,0.883998,0.903614,0.926037,0.945846,0.957229,0.964308,0.974597,0.977231,0.980685,0.984039
%Apop:MB468:CH+Pax,0.050459,0.052551,0.074017,0.170638,0.242073,0.339813,0.440213,0.502618,0.596939,0.646846,0.69356,0.744755,0.777622,0.820809,0.877874,0.910007,0.925626,0.943536,0.956973,0.967407,0.976244,0.981536,0.991196,0.993348,0.992537,0.994803
%Apop:BT549:Untreat,0.042194,0.048305,0.104661,0.106591,0.122107,0.123177,0.126984,0.128627,0.123041,0.123362,0.118974,0.11592,0.117602,0.115909,0.122155,0.122222,0.121302,0.129738,0.134978,0.129267,0.139535,0.141109,0.13488,0.141399,0.142444,0.148387
%Apop:BT549:HO,0.052083,0.057782,0.094569,0.122921,0.180431,0.212285,0.248372,0.290441,0.328972,0.377609,0.412774,0.464666,0.494106,0.530318,0.573689,0.627102,0.645709,0.672532,0.705598,0.726121,0.763547,0.799599,0.82721,0.839801,0.845015,0.875883
%Apop:BT549:MLN+SH,0.051197,0.051387,0.103965,0.212121,0.369957,0.482906,0.573254,0.641623,0.67013,0.696785,0.738261,0.778172,0.792889,0.82973,0.836331,0.862007,0.883888,0.907489,0.924614,0.941446,0.950835,0.959559,0.965455,0.971402,0.972872,0.980574
%Apop:BT549:HO+MLN+SH,0.047262,0.048961,0.082258,0.16721,0.288231,0.412673,0.513648,0.570957,0.633639,0.695833,0.7602,0.787603,0.831919,0.846862,0.869018,0.892308,0.901372,0.918089,0.928333,0.94247,0.942356,0.952862,0.954128,0.962343,0.965899,0.969957
%Apop:BT549:Cry,0.042727,0.043557,0.066004,0.095915,0.137931,0.205221,0.29537,0.46102,0.581351,0.709073,0.773176,0.810226,0.846305,0.865805,0.88724,0.891176,0.901174,0.912142,0.917073,0.929264,0.92878,0.945598,0.947159,0.966403,0.974645,0.974155
